MedInc,HouseAge,AveRooms,Latitude,Longitude,MedHouseValue
5,26,5.599173554,38.32,-122.32,1.752
1.0467,33,3.806220096,38.61,-121.44,0.701
4.1,36,4.902612827,33.91,-118.36,2.431
3.8534,21,6.190804598,39.09,-121.62,0.997
3.4196,43,5.023404255,32.76,-117.15,3.022
3.0694,37,4.232876712,34.03,-118.37,1.222
2.8611,31,4.38576779,33.03,-117.33,3.143
2.7317,33,4.368613139,33.94,-118.12,2.647
2.2222,20,5.1875,36.35,-119.41,0.529
2.1696,16,4.834920635,38.27,-122.66,0.75
1.8606,32,4.717703349,36.34,-119.64,0.567
4.7333,33,6.796143251,34.28,-119.22,2.575
4.2167,52,5.742690058,37.72,-122.45,2.319
1.8333,40,5.037037037,37.95,-122.36,0.698
5.2285,24,5.93271028,36.66,-121.64,2.481
2.875,37,3.66013409,34.1,-118.36,3
5.2657,35,5.983870968,33.83,-117.99,1.914
2.9844,31,5.301020408,38.73,-120.78,1.279
2.7566,25,4.803355079,38.6,-121.53,0.802
3.9844,18,5.549833887,32.74,-116.99,2.153
3.725,21,6.219269103,39.16,-121.57,0.847
4.9904,29,6.32826087,37.68,-121,1.581
2.4063,35,4.977987421,32.97,-115.53,0.707
4.2218,37,5.351585014,33.85,-118.17,2.005
2.7917,47,5.436842105,33.97,-118.31,1.258
7.1198,32,7.399061033,36.6,-121.95,4.699
2.0154,23,5.606185567,33.75,-116.89,0.817
6.6178,44,6.839552239,33.51,-117.78,5.00001
2.2583,42,3.761764706,37.33,-121.89,1.925
4.1458,35,5.141486811,33.89,-118.31,2.315
2.6288,23,6.421906694,35.75,-118.44,0.96
3.5667,17,15.02116402,39.18,-120.12,1.792
5.3311,34,5.882911392,37.68,-122.49,2.708
2.6111,29,3.796078431,34.12,-118.24,1.688
5.0662,46,6.224056604,37.3,-121.89,3.316
6.2685,6,8.010989011,34.68,-120.44,3.074
8.4888,30,5.954113924,37.9,-122.45,5.00001
5.3403,43,6.020242915,34.01,-118.43,4.898
3.0139,39,5.175732218,36.63,-119.68,0.653
1.6178,21,3.487562189,33.77,-118.19,1.375
3.6742,9,5.856287425,37.34,-120.47,1.172
6.9682,15,6.285714286,37.68,-121,1.824
4.7422,32,5.865306122,38.39,-122.82,2.409
1.7115,51,3.359580052,34.03,-118.27,1.25
2.0187,39,4.876068376,33.94,-118.23,0.901
5.1587,36,5.996923077,33.94,-118.11,2.966
3.8194,25,6.180769231,32.58,-117.07,1.344
3.6292,27,4.636058231,37.31,-121.95,2.646
5.5073,16,5.172535211,37.41,-121.86,1.789
5.3168,18,6.638888889,37.53,-120.88,1.75
2.0119,17,5.388781431,40.66,-122.36,0.758
5.5925,13,5.757981462,34.3,-118.9,2.086
7.266,52,7.436619718,37.89,-122.27,3.711
3.5139,31,4.591973244,33.93,-118.35,1.928
1.3807,27,4.083333333,36.05,-119.01,0.531
4.5083,42,5.64,32.82,-117.27,4.052
2.084,39,3.611018364,35.29,-120.66,2.333
2.3042,36,4.461538462,32.75,-117.24,2.206
2.5806,20,5.568438003,35.44,-119.01,0.825
1.95,21,5.510729614,33.89,-116.51,0.61
3.375,36,5.162162162,33.71,-117.86,1.575
2.5259,30,5.508108108,39.33,-121.8,0.813
4.625,36,24.5,36.51,-119.54,1.625
3.5156,31,4.945848375,34.07,-118.07,1.993
2.9405,24,3.76758794,34.08,-118.14,2.178
10.2252,14,7.1,33.89,-117.97,4.628
2.2264,11,2.899415205,34.19,-118.45,1.813
3.5833,52,5.15819209,37.77,-122.5,3.229
3.5521,19,3.45380117,33.82,-118.19,2.9
1.7463,19,7.612149533,39.3,-122.51,0.688
2.4678,18,4.917157085,36.8,-119.74,0.743
2.462,28,3.599609375,34.14,-118.24,2.54
3.4519,15,6.157303371,41.28,-122.45,1.288
2.2339,5,4.291297935,38.67,-121.36,1.166
2.45,21,3.8515625,32.78,-117.25,3.5
2.6759,17,4.631205674,33.61,-117.73,1.206
2.6917,24,4.351464435,34.09,-118.02,1.7
4.6944,36,5.299559471,34.23,-118.56,2.218
4.5791,12,5.899267399,35.36,-119.08,1.234
5.3994,23,5.019157088,37.44,-121.88,2.379
1.5433,11,4.462068966,36.32,-119.65,0.504
1.9238,39,3.996941896,38.13,-121.27,0.707
3,30,4.488888889,33.92,-118.03,1.583
3.3693,30,5.471092077,35.03,-117.82,0.718
5.2713,7,6.832116788,33.94,-117.31,2.165
2.3125,15,5.901098901,35.63,-118.41,0.969
6.0804,42,5.244274809,34.01,-118.44,4.2
4.0625,19,6.729064039,39.11,-121.68,1.417
4.375,27,5.142857143,33.93,-117.99,2.104
5.4236,35,5.468671679,33.91,-118.02,2.167
2.6875,39,3.633251834,34.43,-119.7,3.206
5.5196,45,5.444444444,33.83,-118.13,2.276
7.4542,16,6.483333333,37.42,-122.23,5.00001
3.1023,23,5.161375661,32.84,-117.01,1.433
3.125,23,5.545454545,34.33,-118.89,3.75
4.6708,17,6.071672355,34.02,-117.32,1.231
1.3811,21,8.579212916,34.45,-116.51,0.513
13.0502,6,9.413793103,33.48,-117.65,5.00001
3.125,52,6.131034483,38.56,-121.47,0.856
3.0964,31,4.566795367,37.69,-122.07,1.905
10.2311,31,8.240837696,37.25,-122.01,5.00001
3.3929,52,5.994652406,37.83,-122.29,0.757
8.1631,42,6.314049587,34.02,-118.43,5.00001
3.875,44,5.599537037,34.15,-118.02,2.808
4.3542,5,4.479820628,33.57,-117.65,1.956
1.6571,31,4.28913738,39.15,-123.21,1.089
4.0519,7,5.92776204,38.75,-121.31,1.292
6.5195,35,6.364516129,34.11,-118.36,5.00001
4.6978,24,5.663313213,37.56,-122.03,2.403
2.567,21,5.091935484,37.38,-120.64,0.704
2.7538,41,4.376731302,37.64,-120.99,0.996
5.0574,20,5.818803419,38.34,-122.88,2.762
10.5424,16,7.598615917,33.73,-118.06,5.00001
1.9487,25,4.670676692,38.34,-122.44,2.335
2.75,27,3.296979866,34.03,-118.46,3.273
5.1806,9,4.416356877,33.8,-118.16,1.75
2.3583,21,5.206896552,38.77,-120.58,1.087
5.035,15,5.647887324,34.19,-119.21,2.429
3.3844,6,5.420807453,37.67,-120.93,1.385
1.6354,37,2.705882353,34.01,-118.16,1.589
5.4851,31,5.525651144,37.91,-122.5,4.411
0.9702,28,2.557647059,33.65,-117.92,2.254
5.6975,48,5.861878453,34.18,-118.33,2.314
5.3735,22,7.237569061,33.91,-117.57,2.146
3.875,27,5.328455285,34.17,-118.41,3.661
3.0445,36,4.042813456,32.76,-117.15,2.148
2.1458,30,5.153184165,35.62,-117.68,0.524
3.8864,27,5.163398693,32.73,-117.11,1.326
4.8125,37,5.812154696,37.67,-122.14,1.883
2.7543,23,3.206666667,34.08,-118.31,2.2
5.7559,18,6.07223114,33.64,-117.69,2.158
2.5926,24,4.775609756,38.51,-121.48,0.723
3.703,22,3.881606765,33.84,-118.36,3.613
8.7603,10,6.732240437,33.72,-117.75,3.625
1.3194,19,4.244230769,37.75,-122.19,0.814
2.63,29,3.496212121,33.97,-118.14,1.56
3.1458,21,5.086666667,33.12,-117.07,1.877
6.2702,10,6.608108108,33.64,-116.57,3.455
2.1903,34,2.615835777,33.94,-118.21,1.625
5.0808,24,5.008264463,37.44,-121.91,2.125
2.625,50,4.742236025,32.74,-117.13,2.032
2.9018,52,4.621212121,37.85,-122.28,1.194
2.4956,11,4.960328317,36.75,-119.7,0.875
3.5258,13,6.099709584,37.02,-120.06,0.849
4.3696,7,6.527930763,37.71,-121.42,1.707
2.8333,35,5.302040816,38.68,-121.46,1.03
3.1061,19,5.490066225,39.76,-121.58,1.102
4.4722,18,5.511560694,34.11,-117.79,2.156
4.2083,44,4.924050633,33.9,-118.08,1.683
4.4453,42,5.336,37.34,-121.96,2.554
3.5611,12,6.175373134,36.23,-119.34,0.902
5.3074,42,5.359504132,33.67,-118.31,4.019
4.1607,24,5.226804124,38.69,-121.25,1.128
2.5536,37,4.687096774,40.78,-124.18,0.702
5.791,36,5.004048583,37.39,-122,2.394
3.045,36,5.140298507,34,-118.09,1.606
2.7375,36,4.870036101,34.2,-118.44,2.349
6.1636,28,6.380952381,37.76,-122.46,3.677
3.0992,9,4.342857143,32.56,-117.07,1.426
3.22,52,5.956639566,37.78,-122.19,1.565
3.7364,34,4.959314775,37.53,-122.04,1.904
12.3292,29,7.916666667,37.38,-121.81,4.167
5.5,27,6.184039088,34.03,-118.09,2.768
3.5054,33,3.99375,33.82,-118.21,1.468
2.6998,25,3.776705277,37.9,-122.06,2.161
7.3719,22,7.104591837,33.66,-117.95,3.374
1.3977,26,4.715384615,34.05,-117.33,0.731
4.75,37,5.150485437,33.9,-118.1,1.619
1.5565,35,2.056890013,34.05,-118.28,1.525
3.5987,14,6.010771993,34.87,-117.06,0.914
5.5871,52,5.403921569,34.08,-118.34,5.00001
3.5789,28,5.278438031,32.73,-117.09,1.203
2.75,34,5.556701031,34.69,-118.13,0.968
2.9542,15,6.074581431,33.85,-117.3,1.279
1.6892,52,5.586956522,34,-118.31,1.291
3.4038,29,5.881443299,32.99,-115.41,1.078
3.5323,34,5.762903226,38.49,-121.45,1.098
6.7415,28,7.645695364,34.27,-118.54,3.482
3.9531,17,5.505434783,32.95,-117.05,1.786
3.5322,40,4.540733198,37.48,-122.24,3.619
2.6023,22,4.741333333,38.61,-121.34,1.422
1.7171,17,5.15503876,37.27,-121.95,1.813
6.0577,25,6.1200453,37.34,-122.03,4.518
1.9808,14,3.286538462,33.78,-118.16,1.391
3.0466,11,6.534090909,38.97,-122.78,0.973
2.5833,28,5.520833333,36.32,-119.68,0.544
5.1305,9,4.736363636,32.69,-117.06,1.589
6.1244,20,6.330434783,34.42,-118.88,3.75
7.8252,10,8.437611408,34.16,-117.59,3.614
6.2788,26,6.581047382,34.25,-118.54,3.222
1.9602,38,4.372013652,36.53,-119.38,0.514
3.5652,16,6.192,39.05,-122.92,1.19
2.4615,46,4.46557377,36.92,-121.75,1.778
2.6184,25,3.62295082,33.88,-118.12,2.438
5.9838,21,6.646840149,33.74,-117.95,2.719
2.8,37,4.820512821,33.93,-117.93,1.375
3.6445,17,5.84,32.83,-116.85,1.976
4.2589,8,5.145714286,37.99,-121.36,1.349
2.4145,14,5.838709677,33.77,-116.94,1.376
2.1949,35,3.658892128,33.89,-118.23,0.951
2.4555,15,6.177033493,39.9,-122.57,0.556
6.6112,31,6.758474576,38.51,-121.51,2.516
4.0602,44,4.811287478,34.1,-118.28,3.24
2.6165,33,4.179389313,34.19,-118.42,2.308
4.0467,8,6.059854015,33.9,-117.22,1.215
3.052,17,3.355781449,34.15,-118.24,2.098
10.898,30,7.989110708,33.79,-118.39,5.00001
2.6635,16,4.555555556,38.57,-121.37,1.358
8.0158,13,6.298550725,37.33,-122.07,4.2
6.0175,15,7.13681592,32.96,-117.12,2.383
3.7734,48,5.300829876,37.75,-122.48,3.147
3.7222,35,5.539325843,33.87,-117.96,1.875
4.1775,4,5.495446266,34.04,-117.49,1.437
5.0659,35,5.106157113,37.68,-122.49,2.38
2.6981,35,5.572327044,38.55,-121.28,1.125
2.5921,20,6.024221453,36.52,-119.73,0.942
1.4853,45,5.285714286,37.8,-121.21,1.018
5.32,16,6.186153846,33.8,-118.01,2.195
3.125,9,5.148006785,38.67,-121.75,1.325
3.75,23,5.396880416,33.79,-117.81,2.119
3.2016,37,5.899736148,39.75,-121.82,0.97
2.3,10,5.774223035,33.81,-117.02,1.089
4.1488,37,5.616901408,38.61,-121.4,1.364
5.3369,18,5.340277778,33.61,-117.92,3.125
3.9336,18,6.188405797,38.38,-122.93,2.625
2.1607,35,4.144486692,33.94,-118.23,0.976
2.2727,40,4.995412844,35.42,-119.02,0.672
3.2083,40,4.113185531,37.76,-122.47,3.3
1.7546,52,4.733333333,37.76,-122.21,0.806
3.7763,36,5.68627451,32.72,-117.02,1.269
3.8611,32,5.132978723,38.7,-121.46,0.939
5.3119,6,6.971671388,35.37,-119.2,1.573
2.5221,7,5.098591549,33.74,-117.22,1.092
3.9792,19,5.896103896,38,-121.31,1.319
2.4667,21,5.118421053,37.93,-121.31,0.814
3.0278,52,5.172932331,37.78,-122.49,3.563
6.1228,17,6.665079365,37.55,-122.28,3.757
3.5391,5,5.724911452,35.13,-117.98,0.819
2.3169,13,5.568286445,33.75,-116.91,1.234
3.4464,36,5.015659955,34.04,-117.76,1.13
1.7895,34,4.395904437,37.97,-121.25,0.631
3.2417,36,3.684057971,33.88,-118.33,2.833
3.0685,13,8.14957265,37.64,-118.97,1.625
2.4375,37,3.54950495,34.19,-118.38,1.763
3.8571,37,4.411700975,34.03,-118.51,5.00001
3.5461,10,5.029411765,38.46,-121.44,1.036
3.9659,26,4.257234727,33.73,-117.9,1.785
3.2308,39,4.478036176,34.03,-118.43,3.408
2.2454,39,4.44911147,32.71,-117.07,0.896
3.5385,24,4.705483672,34.3,-119.29,1.868
2.3125,18,13.44067797,39,-122.7,1.625
3.9118,32,5.527058824,33.94,-117.44,1.141
2.9315,46,5.1352657,33.98,-118.34,1.49
6.3942,4,5.681271811,37.78,-121.95,3.567
3.1972,8,5.685325265,39.05,-120.94,1.515
4.2262,37,4.362369338,37.63,-122.41,2.285
1.9206,26,4.097639485,37.62,-120.98,0.813
3.7933,22,6.112860892,33.25,-117.3,1.31
2.0391,28,4.716216216,40.68,-122.36,0.598
4.174,22,6.213171577,39.1,-121.63,1.001
3.6343,5,5.482269504,36.22,-119.32,0.954
2.0242,52,5.672131148,38.55,-121.47,0.946
3.6453,32,5.278532609,34.37,-119.06,2.017
4.2198,20,5.884720327,38.56,-121.71,1.641
1.6318,19,4.403536977,32.75,-117.09,1.177
4.9643,37,7.106382979,37.85,-122.24,3.35
3.7932,37,5.50137741,34.2,-118.15,2.103
1.9609,23,3.393617021,36.91,-121.76,1.55
2.6694,18,5.365546218,37.11,-120.27,0.759
4.4766,5,7.013544018,37.79,-121.22,1.694
3.2964,52,4.263502455,37.76,-122.41,2.65
2.8152,27,6.142028986,36.16,-119.45,1.069
4.3438,33,6.180769231,34.15,-117.3,1.15
5.9316,20,6.560606061,34.24,-119.04,3.119
2.1607,34,5.022082019,40.78,-124.18,0.67
4.6375,15,4.350393701,34.15,-118.44,3.591
4.2448,4,6.512658228,38.11,-121.26,1.509
4.0337,32,5.785202864,34.3,-118.46,1.585
4.5094,12,4.426380368,33.67,-117.77,1.602
3.2955,19,5.479490806,37.35,-120.6,0.886
4.9286,43,5.980487805,38.1,-122.49,3.07
3.5125,38,4.445972495,37.9,-122.3,2.242
2.9565,14,4.817762399,36.8,-119.85,0.73
4.6366,40,5.311764706,37.49,-122.25,3.955
1.8393,18,2.090425532,33.75,-118.28,1.875
3.3725,16,3.981803143,34.07,-118.38,3.75
4.875,36,5.478417266,33.84,-118.11,2.189
2.2708,34,3.53,34.07,-118.2,1.596
3.2708,46,4.611607143,33.53,-117.77,3.847
4.375,21,6.35,37.35,-118.42,1.804
4.1711,38,5.440116845,37.99,-122.57,3.369
3.2308,34,4.595907928,33.05,-117.3,3.313
4.1447,11,5.630952381,38.55,-121.34,1.14
5.3184,41,6.253521127,34.44,-119.71,3.76
4.9102,32,5.99599466,34.15,-118.61,3.191
6.0238,23,4.910714286,37.89,-122.49,5.00001
9.6047,20,8.467889908,34.27,-118.57,5.00001
3.875,45,4.595155709,34.18,-118.34,2.269
7.9234,29,8.017699115,37.26,-121.99,5.00001
6.0436,46,5.131736527,34.02,-118.46,4.73
4.9716,16,14.85185185,34.26,-117.22,1.625
4.6458,18,5.719266055,34.22,-119.04,2.228
1.7188,17,4.544364508,38.5,-121.47,1.375
6.1023,17,6.630952381,37.7,-121.72,4.5
6.244,31,6.828947368,38.62,-121.31,2.4
11.6833,21,8.497635934,37.56,-122.37,5.00001
3.125,42,4.968468468,37.94,-122.34,1.439
0.536,26,7.846153846,38.7,-122.52,0.875
3.1607,20,6.161849711,32.92,-116.84,1.193
2.6392,26,3.832264957,37.78,-122.43,2.875
4.1099,8,6.08168028,37.19,-119.77,1.136
5.3081,12,3.686580882,34.06,-118.25,2.875
5.1708,41,5.74122807,34.01,-118.44,4.188
2.3599,36,4.771971496,32.8,-117.2,1.684
4.1985,34,4.761862917,37.46,-122.19,5.00001
2.1217,38,5.557377049,33.73,-116.22,0.685
3.9356,4,4.622317597,32.86,-117.2,2.67
3.6133,7,5.056213018,37.95,-121.96,1.961
2.5859,17,4.814634146,32.57,-117.07,1.314
3.7708,36,3.81305638,33.8,-118.22,1.571
4.6167,25,5.777292576,33.75,-117.96,2.373
3.7333,36,6.300254453,38,-122.05,1.364
3.1563,29,3.416141236,34.02,-118.49,3.3
6.7571,42,6.665178571,34.21,-118.2,4.439
4.2381,11,11.40289855,37.64,-118.96,2.427
2.125,6,5.904761905,34.02,-117.64,4.167
3.1429,42,4.685344828,37.34,-121.94,2.865
2.5523,46,3.761016949,33.99,-118.48,3.875
3.4187,37,4.453172205,37.98,-122.02,1.617
3.8621,42,3.967889908,33.81,-118.27,1.653
5.2591,16,6.041198502,34.14,-117.21,1.407
2.6136,47,3.222054381,34.08,-118.25,1.692
3.75,29,5.31884058,34.04,-117.98,1.906
5.0323,30,6.295264624,38.35,-122.76,2.224
5.2723,40,5.103030303,34.1,-118.21,2.183
3.1946,5,5.618618619,34.57,-117.93,1.327
6.0767,16,5.572413793,38.38,-122.02,2.164
2.4191,24,4.422764228,32.6,-117.06,1.073
1.1607,50,4.038461538,39.51,-121.55,0.517
3.1667,52,4.136986301,37.35,-121.94,2.316
3.1136,36,5.713498623,36.96,-120.08,0.738
6.4667,16,6.998463902,34.09,-117.85,2.639
3.9615,36,5.96460177,34.7,-118.15,1.163
3.3713,29,4.359805511,33.87,-118.15,1.982
3.1204,52,4.051764706,34.09,-118.16,2.24
10.959,52,7.153310105,37.74,-122.46,5.00001
3.069,20,5.237831858,33.73,-116.96,0.87
6.314,9,8.146896128,38.7,-121.06,2.289
3.3841,29,4.84203103,37.69,-121.76,1.844
5.0062,30,5.715025907,37.27,-121.91,2.32
4.5903,13,6.759358289,35.39,-119.12,0.943
4.5347,12,6.504098361,36.93,-119.88,1.012
1.3125,10,4.438356164,33.94,-117.28,1.357
2.1471,26,4.529247911,34.38,-119.86,1.875
2.7072,29,3.254620123,34.02,-118.48,3.75
3.3878,31,5.573281453,38.49,-121.44,1.093
5.395,34,5.452722063,33.81,-118.13,2.419
2.4937,31,5.278026906,36.65,-120.25,0.66
2.6607,19,2.872340426,34.41,-119.7,2.265
3.1111,36,5.213903743,33.91,-118.25,1.193
2.6765,20,5.300835655,38.01,-121.32,0.964
3.2845,16,4.642126789,33.61,-117.75,2.276
5.5461,36,6.224137931,37.71,-122.19,2.625
4.4628,26,6.059561129,34.65,-120.48,1.344
3.0382,23,4.019723866,33.74,-117.83,1.836
3.4013,27,4.119402985,34.17,-118.4,2.86
1.6786,36,4.076923077,35.33,-118.99,0.529
5.0917,17,6.125954198,38.58,-121.34,1.341
2.7188,26,6.828,41.07,-121.11,0.481
3.875,15,5.058405683,34.1,-117.87,1.733
2.2788,47,3.774566474,34.04,-118.21,1.396
3.6016,21,5.387755102,37.74,-121.13,1.346
1.0096,52,3,38.3,-122.29,1.625
6.204,19,6.564202335,38.24,-122.62,2.018
4.5536,10,11.09813084,34.24,-117.26,1.324
2.1273,24,4.035509737,32.76,-117.14,1.423
4.3152,33,6.046686747,32.79,-117.01,1.593
1.7562,30,3.442307692,33.97,-118.19,1.813
4.4397,16,5.615015974,38.06,-122.17,1.871
3.8462,49,5.365122616,34.18,-118.33,2.313
3.1284,8,4.375987362,38.11,-121.26,1.151
3.2778,13,6.469064748,33.81,-117.14,1.488
2.087,33,6.141975309,40.12,-123.82,0.824
11.7045,40,7.764044944,34.04,-118.51,5.00001
2.3359,24,4.99408284,37.1,-119.49,0.924
3.7552,45,5.178362573,37.74,-122.5,2.966
4.8889,5,6.158762887,34.11,-117.39,1.389
3.8125,27,5.044692737,33.61,-117.93,3.667
2.6734,26,4.238938053,33.97,-118.35,1.434
3.3687,47,4.683333333,34.28,-118.44,1.517
2.2969,20,4.873913043,33.04,-115.62,0.62
2.7437,18,5.535776614,34.09,-117.43,1.202
7.8864,52,6.690972222,37.9,-122.26,3.573
5.5608,35,5.948818898,34.28,-118.48,2.267
4.9125,38,6.501766784,32.73,-117.25,3.836
3.7043,17,5.677966102,38.03,-121.97,1.398
3.4821,34,4.577696527,36.21,-121.13,1.137
4.1289,13,4.57203842,38.03,-122.44,1.792
4.7841,31,5.975609756,33,-117.26,3.935
2.8182,12,5.404761905,40.92,-124.09,1.269
2.3812,21,3.725,33.88,-118.31,2.375
9.1541,37,7.914754098,33.96,-118,4.538
1.2786,39,2.140086207,34.05,-118.3,1.219
4.15,14,6.517578125,33.23,-117.08,2.722
2.6875,34,5.24,35.35,-119.03,0.737
1.2209,38,2.907117008,38.57,-121.49,0.879
5.078,26,5.922680412,38.66,-121.32,1.634
7.218,29,6.594230769,37.3,-122,4.007
6.5958,17,6.95703125,34.02,-117.72,2.368
4.0313,39,5.266666667,36.62,-121.93,2.538
3.3897,37,4.827868852,34.19,-118.32,2.227
4.9342,23,5.735798016,34.04,-117.93,1.81
6.5533,34,6.431154381,34.14,-118.39,5.00001
3.4456,5,4.65,33.19,-117.28,1.658
5.5101,35,6.13968254,34.19,-118.62,2.674
3.5667,32,4.180064309,34.01,-118.42,3.94
2.1417,12,4.390029326,38.02,-121.9,1.222
3.625,20,3.594594595,40.22,-123.43,0.675
3.7478,13,6.297435897,34.41,-117.33,1.135
4.7193,4,5.664495114,34.12,-117.56,1.787
1.375,16,3.950819672,40.51,-123.21,0.488
2.5104,36,3.932330827,34.07,-118.1,1.85
4.1141,20,4.158852344,34.05,-118.44,3.05
1.625,38,6.304347826,40.01,-121.23,0.75
2.8622,26,4.51650165,33.79,-117.92,1.843
5.5701,34,7.170616114,37.76,-122.14,2.528
4.7228,36,5.417431193,34.24,-118.42,1.838
3.7059,17,5.199029126,33.81,-118,1.463
4.0647,14,5.279596977,38.46,-122.65,1.878
2.2578,43,4.059625213,32.74,-117.15,2.636
4.2155,8,8.315391879,32.65,-117.04,2.478
3.7045,30,4.596928983,33.94,-117.99,2.123
3.3702,52,4.527318933,37.77,-122.43,3.357
2.9375,31,4.514705882,33.79,-118.27,1.74
3.8015,24,5.488738739,36.61,-121.82,1.691
2.7788,18,7.040540541,33.84,-116.86,0.911
4.8623,18,11.22844828,34.34,-117.61,1.769
2.3056,36,5.268656716,38.14,-122.23,0.904
6.0922,7,6.922535211,33.08,-117.27,3.424
4.7437,52,5.42019544,37.74,-122.43,3.31
3.1103,26,3.950777202,34.1,-118.13,2.141
5.2719,46,5.406698565,34.07,-118.11,2.444
2.625,40,4.192592593,33.98,-118.18,2.063
3.2963,52,5.223958333,38.57,-121.45,2.361
4.9524,26,6.571753986,33.91,-117.9,2.266
6.128,26,6.457142857,33.74,-118.02,2.482
4.1303,16,3.302644466,37.67,-122.46,1.465
2.6573,29,3.45112782,37.31,-121.93,2.528
3.2847,17,3.38172043,34.24,-119.18,1.125
1.575,43,3.987138264,33.98,-118.28,0.975
2.1715,36,3.996383363,33.93,-118.2,1.311
2.8203,27,4.148264984,37.65,-122.09,1.952
15.0001,48,8.84516129,34.19,-118.18,5.00001
3.0357,33,4.359756098,34.08,-118.09,2.06
1.5833,42,4.641821946,36.57,-119.61,0.651
10.1989,17,7.474874372,33.62,-117.86,5.00001
1.9943,21,4.674342105,40.43,-122.29,0.598
2.8401,9,5.354263566,33.77,-117.24,1.042
7.3843,27,7.383915023,37.23,-121.91,4.05
2.5139,43,4.561290323,37.74,-122.19,0.834
3.5,26,6.373493976,38.92,-120,1.036
3.6625,35,4.898617512,33.9,-118.32,1.88
3.5893,52,4.707462687,34.27,-119.27,2.066
4.5096,36,5.627403846,37.03,-122.08,2.037
1.5313,19,5.609489051,39.49,-121.53,0.503
4.0313,29,4.844444444,37.52,-122.28,4.352
5.196,4,6.281354515,32.92,-117.18,2.107
1.0114,45,4.29,38.57,-121.5,0.8
2.3319,15,5.488745981,32.68,-115.48,0.912
